                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1761,                   6.04,                  2.064,                0.28265,                0.03344,                0.02739,                0.01053,                   2.35,                 3.6732,                 2.3401,             0.00023729,             0.00023729,             0.00023729
                      2,                 2.1123,                 3.2463,                 2.0722,                0.26952,                0.09748,                0.04597,                0.01351,                  2.289,                 4.0806,                 2.4007,             0.00045647,             0.00045647,             0.00045647
                      3,                 2.1004,                 3.0855,                 2.0744,                0.17742,                0.05263,                0.03405,                0.01181,                 2.3304,                 3.4592,                 2.3935,              0.0006568,              0.0006568,              0.0006568
                      4,                 2.1043,                 3.0243,                 2.0619,                0.41949,                0.08084,                0.06632,                0.02442,                 2.1967,                 3.0883,                 2.2901,             0.00062918,             0.00062918,             0.00062918
                      5,                 2.0417,                  2.927,                 2.0105,                0.59392,                0.09834,                0.08065,                  0.027,                 2.1803,                 2.8927,                 2.2912,             0.00062918,             0.00062918,             0.00062918
                      6,                 2.0266,                 2.8408,                 2.0042,                0.48966,                0.11735,                0.09656,                0.03557,                 2.1717,                 3.0114,                 2.2551,              0.0006009,              0.0006009,              0.0006009
                      7,                 1.9955,                 2.7504,                 1.9586,                0.60005,                0.10742,                0.09722,                0.04261,                 2.0553,                 2.7752,                 2.1387,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.9501,                  2.682,                 1.9379,                0.62345,                 0.1191,                0.11471,                 0.0477,                 2.1011,                  2.667,                 2.1353,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.9197,                  2.639,                 1.9285,                0.57435,                0.12949,                0.14334,                0.05262,                 2.0404,                 2.6198,                 2.1487,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.9074,                 2.5604,                  1.889,                0.37525,                0.18305,                0.15364,                0.06884,                 2.0239,                 2.5286,                 2.0942,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.8777,                 2.4634,                 1.8679,                0.48694,                0.17062,                0.15946,                0.06816,                 2.0368,                 2.5855,                 2.1304,             0.00045953,             0.00045953,             0.00045953
                     12,                  1.895,                 2.4571,                 1.8716,                0.48282,                0.16964,                0.18907,                0.07467,                 2.0367,                 2.4653,                 2.1355,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.8524,                 2.3968,                  1.838,                0.60923,                0.15058,                 0.2117,                0.08157,                 2.0221,                 2.4418,                  2.119,             0.00040298,             0.00040298,             0.00040298
                     14,                 1.8431,                 2.3582,                  1.839,                0.57625,                0.19348,                0.20269,                0.08655,                 2.0174,                 2.3506,                   2.09,             0.00037471,             0.00037471,             0.00037471
                     15,                 1.8247,                 2.2979,                 1.8167,                0.32715,                0.23569,                0.21365,                0.09226,                 2.0405,                 2.3836,                 2.1351,             0.00034643,             0.00034643,             0.00034643
                     16,                  1.832,                 2.2883,                 1.9082,                0.42083,                0.24006,                0.23965,                0.09635,                 1.9914,                 2.3005,                 2.0955,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.7992,                 2.2237,                 1.8907,                0.38646,                0.23307,                0.23612,                0.09725,                 1.9844,                 2.2871,                 2.0672,             0.00028988,             0.00028988,             0.00028988
                     18,                 1.7901,                  2.176,                  1.885,                0.39793,                0.24344,                0.25963,                0.10626,                 1.9731,                 2.2768,                 2.0764,             0.00026161,             0.00026161,             0.00026161
                     19,                 1.7601,                 2.0873,                 1.8552,                0.51348,                0.22755,                0.22507,                0.10167,                 1.9691,                 2.2542,                  2.051,             0.00023334,             0.00023334,             0.00023334
                     20,                 1.7465,                  2.056,                  1.835,                0.38689,                0.24685,                0.23382,                 0.0971,                  1.963,                 2.1732,                 2.0383,             0.00020506,             0.00020506,             0.00020506
                     21,                 1.7235,                 1.9811,                 1.8251,                0.50664,                0.25045,                0.24785,                0.10814,                 1.9637,                 2.1889,                 2.0493,             0.00017679,             0.00017679,             0.00017679
                     22,                 1.7061,                 1.9524,                 1.7992,                0.29219,                0.28292,                0.26316,                 0.1196,                 1.9724,                 2.1559,                 2.0619,             0.00014851,             0.00014851,             0.00014851
                     23,                 1.6922,                 1.8843,                 1.7968,                0.32503,                0.27334,                0.24822,                0.11228,                 1.9631,                 2.1238,                 2.0589,             0.00012024,             0.00012024,             0.00012024
                     24,                 1.6635,                 1.8241,                 1.7656,                0.37783,                0.28419,                0.25817,                0.11561,                 1.9888,                 2.1149,                 2.0636,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                 1.6451,                 1.7911,                 1.7508,                0.40111,                0.31905,                 0.2826,                 0.1199,                 1.9756,                 2.0961,                 2.0519,             6.3689e-05,             6.3689e-05,             6.3689e-05
